time,user,action,object,event
436,fb_user_13,like_live,livestream,1.0
436,tw_user_4,like_live,livestream,1.0
438,fb_user_25,like_live,livestream,1.0
439,tw_user_7,like_live,livestream,1.0
440,fb_user_1,share_live,livestream,1.0
442,tw_user_4,like_live,livestream,1.0
442,fb_user_7,share_live,livestream,1.0
445,fb_user_23,like_live,livestream,1.0
445,tw_user_5,like_live,livestream,1.0
445,tw_user_1,like_live,livestream,1.0
447,fb_user_18,share_live,livestream,1.0
448,tw_user_7,like_live,livestream,1.0
450,fb_user_1,like_live,livestream,1.0
453,fb_user_24,share_live,livestream,1.0
453,tw_user_10,share_live,livestream,1.0
455,tw_user_4,like_live,livestream,1.0
456,fb_user_9,like_live,livestream,1.0
458,fb_user_4,like_live,livestream,1.0
459,fb_user_21,like_live,livestream,1.0
460,tw_user_1,like_live,livestream,1.0
461,fb_user_22,like_live,livestream,1.0
464,tw_user_2,like_live,livestream,1.0
500,fb_user_11,like_live,livestream,
501,fb_user_20,like_live,livestream,
503,fb_user_16,like_live,livestream,
504,fb_user_5,like_live,livestream,
510,tw_user_1,like_live,livestream,
511,fb_user_23,like_live,livestream,
512,fb_user_15,like_live,livestream,
512,tw_user_2,like_live,livestream,
513,fb_user_25,like_live,livestream,
515,fb_user_16,share_live,livestream,
516,fb_user_6,share_live,livestream,
517,fb_user_6,share_live,livestream,
525,fb_user_13,like_live,livestream,
530,fb_user_14,like_live,livestream,
532,tw_user_7,like_live,livestream,
534,tw_user_5,comment_live,livestream,
535,tw_user_5,like_live,livestream,
540,fb_user_1,like_live,livestream,
541,tw_user_6,comment_live,livestream,
544,fb_user_11,like_live,livestream,
546,tw_user_10,like_live,livestream,
547,tw_user_2,comment_live,livestream,
549,fb_user_25,comment_live,livestream,
908,fb_user_25,like_live,livestream,
919,fb_user_6,like_live,livestream,
1064,tw_user_2,comment_live,livestream,2.0
1069,tw_user_5,like_live,livestream,2.0
1069,fb_user_7,like_live,livestream,2.0
1075,tw_user_6,like_live,livestream,2.0
1076,fb_user_19,like_live,livestream,2.0
1077,fb_user_5,like_live,livestream,2.0
1079,fb_user_18,comment_live,livestream,2.0
1080,tw_user_3,like_live,livestream,2.0
1081,fb_user_22,comment_live,livestream,2.0
1082,fb_user_6,share_live,livestream,2.0
1082,tw_user_3,comment_live,livestream,2.0
1082,fb_user_8,like_live,livestream,2.0
1083,tw_user_2,like_live,livestream,2.0
1084,fb_user_22,like_live,livestream,2.0
1084,tw_user_10,share_live,livestream,2.0
1084,tw_user_3,like_live,livestream,2.0
1085,tw_user_3,share_live,livestream,2.0
1086,fb_user_19,like_live,livestream,2.0
1086,fb_user_11,like_live,livestream,2.0
1087,fb_user_9,like_live,livestream,2.0
1088,tw_user_5,like_live,livestream,2.0
1089,fb_user_2,like_live,livestream,2.0
1090,fb_user_20,like_live,livestream,2.0
1091,fb_user_25,like_live,livestream,2.0
1093,tw_user_3,like_live,livestream,2.0
1094,fb_user_20,comment_live,livestream,2.0
1095,tw_user_1,like_live,livestream,2.0
1097,fb_user_20,like_live,livestream,2.0
1098,fb_user_12,share_live,livestream,2.0
1100,tw_user_3,like_live,livestream,2.0
1100,fb_user_15,like_live,livestream,2.0
1101,tw_user_5,like_live,livestream,2.0
1101,tw_user_4,like_live,livestream,2.0
1102,fb_user_14,like_live,livestream,2.0
1104,fb_user_6,like_live,livestream,2.0
1106,fb_user_7,like_live,livestream,2.0
1106,fb_user_5,share_live,livestream,2.0
1106,fb_user_20,like_live,livestream,2.0
1107,fb_user_23,like_live,livestream,2.0
1110,fb_user_27,share_live,livestream,2.0
1113,fb_user_25,like_live,livestream,2.0
1117,tw_user_2,like_live,livestream,2.0
1118,tw_user_8,like_live,livestream,2.0
1118,tw_user_4,like_live,livestream,2.0
1120,tw_user_3,like_live,livestream,2.0
1122,fb_user_23,share_live,livestream,2.0
1123,fb_user_10,like_live,livestream,2.0
1126,fb_user_8,like_live,livestream,2.0
1126,fb_user_21,like_live,livestream,2.0
1126,fb_user_7,like_live,livestream,2.0
1126,tw_user_9,like_live,livestream,2.0
1127,fb_user_25,like_live,livestream,2.0
1128,tw_user_5,like_live,livestream,2.0
1129,fb_user_5,like_live,livestream,2.0
1129,fb_user_25,comment_live,livestream,2.0
1129,fb_user_22,like_live,livestream,2.0
1130,fb_user_11,like_live,livestream,2.0
1131,fb_user_1,like_live,livestream,2.0
1132,tw_user_7,like_live,livestream,2.0
1132,tw_user_1,like_live,livestream,2.0
1134,fb_user_11,like_live,livestream,2.0
1137,fb_user_14,like_live,livestream,2.0
1137,fb_user_15,share_live,livestream,2.0
