time,user,action,file,event
389,jh_user_9,save,03_celebrities_go_full_cringe.txt,
396,jh_user_41,save,ali_wajeeh_holiday_from_arabic_trans_muntather_alsawad_and_jeffrey_clapp_poem_1.txt,
397,jh_user_29,save,allan_popa_morpo_from_filipino_trans_jose_perez_beduya_jose_edmundo_ocampo_reyes_and_marc_gaba_poem_2.txt,
397,jh_user_85,save,2_Kayaga_Insatiable_trans_en_gpt.txt,
398,jh_user_30,save,03_celebrities_go_full_cringe.txt,
399,jh_user_13,save,alberto_caeiro_xiii_from_portuguese_trans_margaret_jull_costa_and_patricio_ferrari_poem_3.txt,
402,jh_user_91,save,03_celebrities_go_full_cringe.txt,
402,jh_user_19,save,ali_wajeeh_holiday_from_arabic_trans_muntather_alsawad_and_jeffrey_clapp_poem_1.txt,
404,jh_user_90,save,aco_šopov_horrordeath_from_macedonian_trans_rawley_grau_and_christina_e_kramer_poem_1.txt,
404,jh_user_95,save,2_Kayaga_Insatiable_trans_en_gpt.txt,
405,jh_user_23,save,2_Kayaga_Insatiable_trans_en_gpt.txt,
408,jh_user_26,save,ann_jäderlund_leadingnote_from_swedish_trans_joel_duncan_poem_1.txt,
408,jh_user_36,save,2_Ch_Lambert_Desincarceration_trans_en_gpt.txt,
408,jh_user_79,save,2_Ch_Lambert_Desincarceration_trans_en_gpt.txt,
409,jh_user_92,save,0_Roubaud_J_IlPleut_Raining_trans_R_Sieburth_F_Gramet.txt,
409,jh_user_41,save,6_battle_of_maldon_excerpt_original_&_trans_douglas_b_killings.txt,
409,jh_user_98,save,2_Hoex_Ici_II_trans_en_gpt.txt,
410,jh_user_28,save,andrey_platonov_night_stands_in_the_yard_like_an_orphan_from_russian_trans_george_kovalenko_poem_2.txt,
410,jh_user_13,save,almog_behar_1_from_hebrew_trans_shoshana_olidort_poem_1.txt,
411,jh_user_16,save,1_Monnier_P_Hiver_trans_S_Gavronsky.txt,
411,jh_user_14,save,alberto_caeiro_xiii_from_portuguese_trans_margaret_jull_costa_and_patricio_ferrari_poem_3.txt,
412,jh_user_27,save,ann_jäderlund_leadingnote_from_swedish_trans_joel_duncan_poem_1.txt,
412,jh_user_79,save,allan_popa_babel_from_filipino_trans_jose_perez_beduya_jose_edmundo_ocampo_reyes_and_marc_gaba_poem_1.txt,
412,jh_user_29,save,afrikaans_emoji_in_the_scriptorium_slippers_trans_inggs.txt,
412,jh_user_76,save,alara_adilow_myths_and_traffic_lights_from_dutch_trans_shimanto_robin_reza_poem_2.txt,
412,jh_user_15,save,2_Namur_Cette_Rose_II_trans_en_gpt.txt,
413,jh_user_8,save,alejandro_crotto_if_you_go_and_look_at_a_hen_for_an_hour_or_two_youll_find_in_the_end_that_the_mystery_has_not_diminished_but_rather_increased_from_spanish_trans_robin_myers_poem_2.txt,
413,jh_user_82,save,afrikaans_15_instagram_poems_slippers_trans_inggs.txt,
413,jh_user_35,save,08_lesson_of_the_day.txt,
414,jh_user_63,save,alain_lance_spring_from_french_trans_erika_luckert_poem_5.txt,
414,jh_user_47,save,0_Laabi_A_DemainSera_TomorrowWillBe_trans_P_Joris.txt,
414,jh_user_23,save,artur-becker_on-copernicus-street.txt,
414,jh_user_30,save,2_Namur_Cette_Rose_II_trans_en_gpt.txt,
415,jh_user_54,save,alberto_caeiro_iv_from_portuguese_trans_margaret_jull_costa_and_patricio_ferrari_poem_1.txt,
415,jh_user_88,save,aandaal_song_ten_from_tamil_trans_priya_sarukkai_chabria_and_ravi_shankar_poem_3.txt,
416,jh_user_46,save,Antonioni_Interview.txt,
417,jh_user_39,save,albanian_autumn_afternoon_gjika_trans_gjika.txt,
417,jh_user_71,save,0_Bancquart_MC_ContrefableOrphee_ContrefableOrpheus_trans_M_Sorrell.txt,
417,jh_user_74,save,ana_cristina_cesar_ladies_talk_from_portuguese_trans_brenda_hillman_helen_hillman_and_sebastião_edson_macedo_poem_1.txt,
418,jh_user_22,save,aase_berg_hyperparasites_from_swedish_trans_johannes_göransson_poem_1.txt,
418,jh_user_46,save,17_ancient_mariner_pandemic_436.txt,
418,jh_user_59,save,1_Jamme_FA_VieDuScarabee_trans_M_Tweed.txt,
418,jh_user_45,save,0_Royet-Journoud_C_Localite_Locality_trans_K_Waldrop.txt,
419,jh_user_21,save,2_Mathy_Mains_Ouvertes_I_trans_en_gpt.txt,
419,jh_user_48,save,alejandro_crotto_if_you_go_and_look_at_a_hen_for_an_hour_or_two_youll_find_in_the_end_that_the_mystery_has_not_diminished_but_rather_increased_from_spanish_trans_robin_myers_poem_2.txt,
419,jh_user_59,save,andrey_platonov_night_stands_in_the_yard_like_an_orphan_from_russian_trans_george_kovalenko_poem_2.txt,
420,jh_user_31,save,albanian_autumn_afternoon_gjika_trans_gjika.txt,
420,jh_user_19,save,afrikaans_exile_1_cussons_trans_van_der_vlies.txt,
420,jh_user_27,save,2_Ch_Lambert_Une_Salve_trans_en_gpt.txt,
421,jh_user_2,save,almog_behar_6_from_hebrew_trans_shoshana_olidort_poem_6.txt,
421,jh_user_67,save,alen-meskovic_the-curious-house.txt,
421,jh_user_41,save,3_geffrey_brewer_&_lovepoemsandpoetscom.txt,
421,jh_user_100,save,0_Collobert_D_DontLeSoleil_ForWhichTheSun_trans_M_Tweed.txt,
422,jh_user_14,save,almog_behar_12_from_hebrew_trans_shoshana_olidort_poem_12.txt,
422,jh_user_56,save,afrikaans_15_instagram_poems_slippers_trans_inggs.txt,
422,jh_user_2,save,17_ancient_mariner_pandemic_436.txt,
422,jh_user_20,save,2_Ch_Lambert_Desincarceration_trans_en_gpt.txt,
423,jh_user_46,save,afrikaans_anene_booysen_coetzer_trans_coetzer.txt,
423,jh_user_69,save,archilochus_and_anacreon_anacreon_from_ancient_trans_george_economou_poem_2.txt,
423,jh_user_80,save,2_Vielle_Joueurs_de_Foot_trans_en_gpt.txt,
423,jh_user_90,save,andrea-inglese_inventory-of-lost-flesh.txt,
423,jh_user_53,save,alara_adilow_myths_and_traffic_lights_from_dutch_trans_shimanto_robin_reza_poem_2.txt,
424,jh_user_46,save,alexandra-salmela_anttis-thoughts.txt,
424,jh_user_94,save,afrikaans_aown_terms_coetzer_trans_coetzer.txt,
424,jh_user_42,save,3_geffrey_brewer_&_lovepoemsandpoetscom.txt,
424,jh_user_27,save,7_mary_borden_at_the_somme_excerpt.txt,
424,jh_user_79,save,anna_gréki_menaâ_from_french_trans_marine_cornuet_poem_2.txt,
424,jh_user_11,save,alain_lance_malaise_from_french_trans_erika_luckert_poem_2.txt,
